primary_trips,work_trip,study_trip,shopping_trips,recreational_activity,social_activity,e_learning,teleshopping,teleworking,distance_traveled,mode_of_transport,mode_transport,reason_of_mode,change_mode,transport_mode,fac_inf_mode,fac_res_movement,private_car,trotro,uber_bolt,bicycle,motrobike,walking,gender,age,edu,edu_level,employ_status,income,marital_status,household_car_own,motor_bicycle_own
work,5 or more trips/week,1 trip/week,never,never,never,never,1/week,3/week,5.01 - 10km,trotro,Paratransit,cost,Yes,uber/bolt,safety ans security,perception of infection,extremely unlikely,neutral,neutral,neutral,neutral,neutral,Male,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,Yes,Yes
study,5 or more trips/week,5 or more trips/week,2 trips/week,2 trips/week,2 trips/week,1/week,2/week,4/week,5.01 - 10km,motor bike,Non_motorized_transport,cost,Yes,uber/bolt,infection concern,perception of infection,extremely unlikely,unlikely,extremely unlikely,unlikely,unlikely,unlikely,Male,18 - 24 years,High school certififcate,high school certififcate,Student,less 100 cedis,Single,No,Yes
work,5 or more trips/week,3 trips/week,never,never,never,1/week,3/week,4/week,5.01 - 10km,private car,Private_transport,infection concern,Yes,private car,infection concern,perception of infection,extremely unlikely,neutral,neutral,neutral,neutral,unlikely,Female,41 - 50 years,HND/diploma,HND/diploma,Self Employed,1501 - 2500 cedis,Married,Yes,No
work,5 or more trips/week,1 trip/week,1 trip/week,1 trip/week,1 trip/week,1/week,1/week,2/week,5.01 - 10km,private car,Private_transport,safety ans security,Yes,private car,infection concern,perception of infection,neutral,neutral,extremely unlikely,neutral,neutral,extremely unlikely,Male,61 and above,Postgraduate,postgraduate,Self Employed,3500 - above cedis,Married,Yes,Yes
work,5 or more trips/week,2 trips/week,2 trips/week,1 trip/week,1 trip/week,1/week,2/week,3/week,5.01 - 10km,walking,Non_motorized_transport,cost,Yes,uber/bolt,infection concern,perception of infection,unlikely,neutral,neutral,neutral,neutral,unlikely,Male,18 - 24 years,Junior High certififcate,junior high certificate,Student,101 - 500 cedis,Single,No,No
work,5 or more trips/week,2 trips/week,2 trips/week,2 trips/week,2 trips/week,1/week,1/week,2/week,5.01 - 10km,private car,Private_transport,safety ans security,Yes,private car,comfort,social distance,extremely unlikely,likely,neutral,neutral,neutral,unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,2501 - 3500 cedis,Married,Yes,No
work,5 or more trips/week,never,never,never,never,never,1/week,1/week,5.01 - 10km,trotro,Paratransit,cost,Yes,uber/bolt,infection concern,perception of infection,extremely unlikely,likely,unlikely,neutral,neutral,neutral,Female,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,1501 - 2500 cedis,Married,No,No
study,3 trips/week,5 or more trips/week,never,never,never,1/week,2/week,2/week,5.01 - 10km,uber/bolt,Ride_hailing,travel cost time,Yes,uber/bolt,infection concern,social distance,extremely unlikely,likely,neutral,neutral,neutral,neutral,Male,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
work,5 or more trips/week,4 trip/week,4 trip/week,4 trip/week,4 trip/week,1/week,3/week,3/week,5.01 - 10km,private car,Private_transport,safety ans security,No,taxi,safety ans security,never reduce my movement,extremely unlikely,neutral,unlikely,unlikely,unlikely,unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Self Employed,1001 - 1500 cedis,Married,Yes,No
work,5 or more trips/week,never,never,1 trip/week,1 trip/week,never,never,never,10.01 - 15km,trotro,Paratransit,safety ans security,Yes,taxi,cleaniness,wearing of nose mask,extremely unlikely,extremely likely,extremely unlikely,unlikely,unlikely,extremely unlikely,Male,18 - 24 years,High school certififcate,high school certififcate,Formally Employed,101 - 500 cedis,Single,No,No
work,3 trips/week,never,2 trips/week,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,availability,Yes,taxi,infection concern,never reduce my movement,extremely unlikely,neutral,extremely unlikely,extremely unlikely,neutral,neutral,Female,25 - 30 years,High school certififcate,high school certififcate,Self Employed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,2 trips/week,1 trip/week,1 trip/week,never,5/more/week,never,20.01 - 30km,taxi,Paratransit,availability,Yes,uber/bolt,comfort,social distance,extremely unlikely,extremely likely,extremely unlikely,neutral,likely,extremely likely,Female,25 - 30 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,never,never,1 trip/week,1 trip/week,never,never,never,15.01 - 20km,trotro,Paratransit,availability,Yes,uber/bolt,infection concern,social distance,extremely unlikely,extremely likely,unlikely,neutral,neutral,extremely unlikely,Male,31 - 40 years,High school certififcate,high school certififcate,Self Employed,101 - 500 cedis,Single,No,No
study,never,3 trips/week,1 trip/week,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,availability,Yes,uber/bolt,comfort,wearing of nose mask,unlikely,neutral,likely,extremely unlikely,unlikely,neutral,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,2 trips/week,1 trip/week,1 trip/week,never,never,never,5.01 - 10km,trotro,Paratransit,availability,Yes,uber/bolt,comfort,wearing of nose mask,extremely unlikely,neutral,extremely likely,likely,unlikely,extremely unlikely,Female,41 - 50 years,Bachelors degree,first degree,Formally Employed,1001 - 1500 cedis,Married,No,No
work,5 or more trips/week,5 or more trips/week,1 trip/week,never,never,2/week,never,1/week,10.01 - 15km,private car,Private_transport,safety ans security,No,private car,social distance,frequent washing of hands,extremely unlikely,neutral,extremely unlikely,extremely likely,neutral,extremely unlikely,Female,41 - 50 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,Yes,No
others,never,never,2 trips/week,1 trip/week,1 trip/week,never,2/week,2/week,20.01 - 30km,taxi,Paratransit,infection concern,Yes,uber/bolt,availability,wearing of nose mask,extremely unlikely,neutral,extremely likely,unlikely,extremely unlikely,unlikely,Female,25 - 30 years,HND/diploma,HND/diploma,Self Employed,101 - 500 cedis,Cohabitation,No,No
work,3 trips/week,5 or more trips/week,2 trips/week,1 trip/week,1 trip/week,never,never,never,10.01 - 15km,private car,Private_transport,infection concern,Yes,private car,infection concern,social distance,extremely unlikely,neutral,likely,extremely likely,extremely unlikely,extremely unlikely,Female,61 and above,High school certififcate,high school certififcate,Self Employed,2501 - 3500 cedis,Married,Yes,No
work,5 or more trips/week,never,never,never,1 trip/week,never,never,never,15.01 - 20km,trotro,Paratransit,availability,Yes,taxi,infection concern,social distance,extremely unlikely,extremely likely,likely,unlikely,extremely unlikely,neutral,Male,41 - 50 years,Junior High certififcate,junior high certificate,Self Employed,1501 - 2500 cedis,Married,No,No
work,5 or more trips/week,never,never,1 trip/week,1 trip/week,never,never,never,15.01 - 20km,trotro,Paratransit,availability,Yes,motor bike,safety ans security,frequent washing of hands,extremely unlikely,neutral,extremely unlikely,unlikely,neutral,neutral,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,101 - 500 cedis,Single,No,Yes
work,5 or more trips/week,2 trips/week,2 trips/week,1 trip/week,1 trip/week,3/week,2/week,1/week,20.01 - 30km,private car,Private_transport,comfort,No,private car,comfort,social distance,extremely unlikely,likely,unlikely,neutral,unlikely,extremely unlikely,Male,51 - 60 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,Yes,No
work,5 or more trips/week,never,never,1 trip/week,1 trip/week,never,never,never,5.01 - 10km,private car,Private_transport,comfort,No,private car,safety ans security,perception of infection,extremely unlikely,neutral,likely,extremely likely,likely,unlikely,Male,51 - 60 years,High school certififcate,high school certififcate,Formally Employed,1501 - 2500 cedis,Married,Yes,No
work,5 or more trips/week,2 trips/week,never,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,private car,Private_transport,comfort,Yes,private car,comfort,wearing of nose mask,extremely unlikely,neutral,extremely unlikely,extremely likely,likely,extremely unlikely,Male,31 - 40 years,High school certififcate,high school certififcate,Self Employed,1501 - 2500 cedis,Married,Yes,No
work,5 or more trips/week,3 trips/week,never,1 trip/week,1 trip/week,2/week,3/week,never,20.01 - 30km,private car,Private_transport,infection concern,Yes,private car,comfort,wearing of nose mask,extremely unlikely,likely,unlikely,neutral,extremely likely,unlikely,Male,41 - 50 years,Postgraduate,postgraduate,Formally Employed,3500 - above cedis,Married,Yes,No
study,5 or more trips/week,never,never,never,never,never,never,never,20.01 - 30km,trotro,Paratransit,availability,No,trotro,infection concern,never reduce my movement,extremely unlikely,extremely likely,extremely unlikely,neutral,unlikely,extremely unlikely,Female,25 - 30 years,Junior High certififcate,junior high certificate,Self Employed,101 - 500 cedis,Cohabitation,No,No
study,never,5 or more trips/week,2 trips/week,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,infection concern,Yes,uber/bolt,infection concern,social distance,extremely unlikely,extremely likely,likely,neutral,extremely unlikely,extremely unlikely,Female,25 - 30 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Married,No,No
study,never,5 or more trips/week,never,1 trip/week,1 trip/week,never,never,never,15.01 - 20km,trotro,Paratransit,availability,Yes,taxi,availability,perception of infection,neutral,likely,unlikely,neutral,unlikely,extremely unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
study,never,5 or more trips/week,2 trips/week,never,1 trip/week,never,never,never,5.01 - 10km,trotro,Paratransit,availability,Yes,uber/bolt,safety ans security,wearing of nose mask,extremely unlikely,likely,extremely unlikely,extremely unlikely,extremely unlikely,neutral,Female,18 - 24 years,HND/diploma,HND/diploma,Student,101 - 500 cedis,Single,No,No
work,2 trips/week,1 trip/week,1 trip/week,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,private car,Private_transport,infection concern,No,private car,comfort,wearing of nose mask,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,31 - 40 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,Yes,No
work,5 or more trips/week,never,never,never,1 trip/week,never,never,never,20.01 - 30km,private car,Private_transport,infection concern,No,private car,comfort,frequent washing of hands,extremely unlikely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,neutral,Male,41 - 50 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,Yes,No
work,5 or more trips/week,3 trips/week,never,never,never,2/week,5/more/week,never,20.01 - 30km,private car,Private_transport,comfort,No,private car,safety ans security,wearing of nose mask,extremely unlikely,extremely likely,extremely unlikely,unlikely,neutral,unlikely,Male,51 - 60 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,Yes,No
work,5 or more trips/week,never,never,never,never,never,never,never,5.01 - 10km,trotro,Paratransit,infection concern,No,trotro,safety ans security,frequent washing of hands,extremely unlikely,neutral,likely,unlikely,extremely unlikely,extremely likely,Female,25 - 30 years,High school certififcate,high school certififcate,Formally Employed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,never,never,never,never,never,never,20.01 - 30km,trotro,Paratransit,infection concern,Yes,taxi,safety ans security,social distance,extremely unlikely,likely,neutral,extremely unlikely,extremely unlikely,unlikely,Female,25 - 30 years,Junior High certififcate,junior high certificate,Unemployed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,never,never,never,never,never,never,20.01 - 30km,taxi,Paratransit,availability,No,taxi,comfort,wearing of nose mask,unlikely,neutral,likely,extremely likely,extremely unlikely,neutral,Male,41 - 50 years,Junior High certififcate,junior high certificate,Self Employed,501 - 1000 cedis,Married,Yes,No
work,5 or more trips/week,never,2 trips/week,2 trips/week,never,1/week,never,never,0 - 5km,motor bike,Non_motorized_transport,comfort,No,trotro,social distance,wearing of nose mask,extremely unlikely,extremely likely,extremely unlikely,neutral,neutral,likely,Female,41 - 50 years,No formal Education,no certificate and can not read,Self Employed,501 - 1000 cedis,Married,No,No
study,5 or more trips/week,never,never,never,1 trip/week,never,never,never,0 - 5km,motor bike,Non_motorized_transport,comfort,No,trotro,safety ans security,wearing of nose mask,extremely unlikely,likely,extremely unlikely,neutral,unlikely,likely,Male,51 - 60 years,Junior High certififcate,junior high certificate,Self Employed,501 - 1000 cedis,Married,No,No
work,5 or more trips/week,never,never,3 trips/week,3 trips/week,never,3/week,never,20.01 - 30km,private car,Private_transport,comfort,No,private car,infection concern,perception of infection,extremely unlikely,likely,unlikely,extremely unlikely,unlikely,extremely likely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Cohabitation,Yes,No
work,5 or more trips/week,never,never,2 trips/week,3 trips/week,never,never,never,15.01 - 20km,trotro,Paratransit,availability,Yes,taxi,availability,never reduce my movement,extremely unlikely,extremely likely,likely,neutral,unlikely,neutral,Male,18 - 24 years,High school certififcate,high school certififcate,Self Employed,101 - 500 cedis,Single,No,No
shopping,5 or more trips/week,never,2 trips/week,3 trips/week,2 trips/week,never,5/more/week,never,15.01 - 20km,trotro,Paratransit,availability,Yes,taxi,travel cost time,social distance,extremely unlikely,extremely likely,neutral,extremely unlikely,unlikely,neutral,Male,25 - 30 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Cohabitation,No,No
study,never,5 or more trips/week,1 trip/week,1 trip/week,3 trips/week,never,never,2/week,15.01 - 20km,taxi,Paratransit,infection concern,Yes,uber/bolt,availability,perception of infection,neutral,extremely unlikely,likely,extremely likely,extremely likely,unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Unemployed,101 - 500 cedis,Single,No,No
shopping,5 or more trips/week,never,3 trips/week,3 trips/week,1 trip/week,never,never,never,10.01 - 15km,trotro,Paratransit,infection concern,Yes,uber/bolt,comfort,social distance,extremely unlikely,neutral,neutral,neutral,unlikely,extremely likely,Male,18 - 24 years,High school certififcate,high school certififcate,Self Employed,101 - 500 cedis,Single,No,No
others,never,never,never,never,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,cost,No,trotro,availability,never reduce my movement,neutral,unlikely,neutral,unlikely,likely,unlikely,Male,31 - 40 years,High school certififcate,high school certififcate,Formally Employed,101 - 500 cedis,Married,No,No
work,5 or more trips/week,5 or more trips/week,1 trip/week,never,1 trip/week,5/more/week,never,never,20.01 - 30km,private car,Private_transport,availability,No,private car,infection concern,wearing of nose mask,extremely unlikely,neutral,extremely unlikely,extremely likely,extremely likely,neutral,Male,51 - 60 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,Yes,No
others,2 trips/week,3 trips/week,4 trip/week,1 trip/week,5 or more trips/week,2/week,3/week,2/week,5.01 - 10km,trotro,Paratransit,cost,4,uber/bolt,infection concern,never reduce my movement,extremely likely,unlikely,likely,likely,likely,neutral,Female,18 - 24 years,HND/diploma,HND/diploma,Unemployed,101 - 500 cedis,Single,No,No
study,never,5 or more trips/week,1 trip/week,1 trip/week,1 trip/week,never,never,never,5.01 - 10km,trotro,Paratransit,safety ans security,Yes,uber/bolt,infection concern,wearing of nose mask,extremely unlikely,unlikely,unlikely,unlikely,likely,neutral,Female,under 18,Junior High certififcate,junior high certificate,Unemployed,less 100 cedis,Single,No,No
study,5 or more trips/week,never,2 trips/week,1 trip/week,1 trip/week,never,never,never,10.01 - 15km,trotro,Paratransit,cleaniness,Yes,taxi,travel cost time,frequent washing of hands,unlikely,extremely likely,unlikely,extremely unlikely,neutral,likely,Female,31 - 40 years,High school certififcate,high school certififcate,Self Employed,101 - 500 cedis,Married,Yes,No
work,5 or more trips/week,3 trips/week,never,1 trip/week,1 trip/week,1/week,2/week,never,20.01 - 30km,private car,Private_transport,infection concern,Yes,private car,comfort,wearing of nose mask,extremely unlikely,likely,extremely unlikely,neutral,extremely likely,unlikely,Male,41 - 50 years,Postgraduate,postgraduate,Formally Employed,2501 - 3500 cedis,Married,Yes,No
study,never,2 trips/week,1 trip/week,never,never,1/week,never,2/week,5.01 - 10km,uber/bolt,Ride_hailing,safety ans security,Yes,uber/bolt,safety ans security,never reduce my movement,extremely unlikely,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,unlikely,Male,25 - 30 years,Junior High certififcate,junior high certificate,Formally Employed,101 - 500 cedis,Single,No,No
shopping,never,3 trips/week,1 trip/week,never,never,5/more/week,2/week,1/week,10.01 - 15km,taxi,Paratransit,safety ans security,No,taxi,cleaniness,wearing of nose mask,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,likely,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Student,2501 - 3500 cedis,Married,Yes,No
work,5 or more trips/week,4 trip/week,2 trips/week,3 trips/week,1 trip/week,5/more/week,2/week,5/more/week,0 - 5km,trotro,Paratransit,travel cost time,No,taxi,travel cost time,never reduce my movement,extremely likely,extremely unlikely,unlikely,unlikely,likely,neutral,Female,under 18,High school certififcate,high school certififcate,Student,1501 - 2500 cedis,Single,No,No
study,never,2 trips/week,never,never,never,2/week,never,never,5.01 - 10km,private car,Private_transport,comfort,No,private car,safety ans security,wearing of nose mask,extremely unlikely,extremely likely,extremely unlikely,unlikely,extremely unlikely,extremely unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Formally Employed,1001 - 1500 cedis,Married,Yes,Yes
work,5 or more trips/week,1 trip/week,never,never,never,1/week,never,never,5.01 - 10km,private car,Private_transport,safety ans security,Yes,uber/bolt,comfort,perception of infection,neutral,extremely unlikely,extremely unlikely,extremely unlikely,neutral,unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Self Employed,less 100 cedis,Single,No,No
study,5 or more trips/week,1 trip/week,never,never,never,1/week,never,never,0 - 5km,private car,Private_transport,safety ans security,Yes,uber/bolt,safety ans security,never reduce my movement,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,unlikely,Male,25 - 30 years,High school certififcate,high school certififcate,Self Employed,less 100 cedis,Married,No,No
others,1 trip/week,3 trips/week,never,2 trips/week,4 trip/week,5/more/week,3/week,never,10.01 - 15km,private car,Private_transport,cleaniness,Yes,private car,availability,social distance,extremely likely,unlikely,neutral,likely,extremely unlikely,extremely unlikely,Male,41 - 50 years,HND/diploma,HND/diploma,Self Employed,501 - 1000 cedis,Married,Yes,No
work,1 trip/week,2 trips/week,3 trips/week,2 trips/week,4 trip/week,2/week,never,never,5.01 - 10km,private car,Private_transport,cleaniness,3,trotro,safety ans security,frequent washing of hands,extremely likely,unlikely,extremely unlikely,likely,extremely unlikely,neutral,Male,18 - 24 years,Postgraduate,postgraduate,Unemployed,1501 - 2500 cedis,Married,No,No
study,never,3 trips/week,never,never,never,2/week,never,1/week,10.01 - 15km,taxi,Paratransit,availability,No,uber/bolt,comfort,frequent washing of hands,extremely unlikely,likely,unlikely,neutral,likely,likely,Female,25 - 30 years,Bachelors degree,first degree,Formally Employed,1001 - 1500 cedis,Married,No,No
work,5 or more trips/week,never,never,never,1 trip/week,never,never,never,0 - 5km,motor bike,Private_transport,availability,No,taxi,cleaniness,wearing of nose mask,unlikely,likely,unlikely,extremely unlikely,unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,No,Yes
shopping,never,never,3 trips/week,never,never,never,never,2/week,5.01 - 10km,uber/bolt,Ride_hailing,comfort,No,taxi,comfort,frequent washing of hands,unlikely,likely,extremely unlikely,extremely likely,extremely likely,extremely likely,Male,25 - 30 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Married,No,No
study,never,3 trips/week,never,never,never,5/more/week,never,never,10.01 - 15km,private car,Private_transport,cleaniness,No,uber/bolt,comfort,perception of infection,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Formally Employed,101 - 500 cedis,Married,Yes,Yes
work,2 trips/week,never,never,1 trip/week,never,never,3/week,1/week,10.01 - 15km,taxi,Paratransit,cleaniness,Yes,trotro,cost,wearing of nose mask,unlikely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,unlikely,Male,25 - 30 years,Junior High certififcate,junior high certificate,Self Employed,101 - 500 cedis,Married,No,No
shopping,5 or more trips/week,4 trip/week,5 or more trips/week,3 trips/week,2 trips/week,1/week,3/week,4/week,20.01 - 30km,taxi,Paratransit,comfort,No,taxi,social distance,never reduce my movement,extremely unlikely,extremely unlikely,unlikely,unlikely,neutral,neutral,Male,25 - 30 years,High school certififcate,high school certififcate,Self Employed,101 - 500 cedis,Divorced,No,No
work,1 trip/week,3 trips/week,never,1 trip/week,never,1/week,4/week,never,15.01 - 20km,taxi,Paratransit,infection concern,No,uber/bolt,cleaniness,wearing of nose mask,unlikely,likely,unlikely,extremely unlikely,unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Self Employed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,1 trip/week,1 trip/week,never,never,3/week,never,never,0 - 5km,taxi,Paratransit,comfort,No,taxi,comfort,perception of infection,extremely unlikely,likely,unlikely,unlikely,unlikely,unlikely,Female,31 - 40 years,High school certififcate,high school certififcate,Self Employed,1001 - 1500 cedis,Married,No,No
study,never,5 or more trips/week,2 trips/week,never,never,5/more/week,never,1/week,5.01 - 10km,private car,Private_transport,comfort,Yes,private car,cleaniness,wearing of nose mask,extremely unlikely,likely,extremely unlikely,extremely unlikely,unlikely,neutral,Female,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,Yes,Yes
study,never,5 or more trips/week,never,never,never,3/week,never,1/week,10.01 - 15km,taxi,Paratransit,travel cost time,No,trotro,infection concern,social distance,extremely likely,unlikely,unlikely,unlikely,unlikely,unlikely,Male,25 - 30 years,Junior High certififcate,junior high certificate,Self Employed,1001 - 1500 cedis,Single,No,No
work,5 or more trips/week,never,2 trips/week,1 trip/week,1 trip/week,never,never,1/week,0 - 5km,taxi,Paratransit,travel cost time,No,taxi,infection concern,never reduce my movement,unlikely,likely,unlikely,unlikely,unlikely,unlikely,Female,18 - 24 years,HND/diploma,HND/diploma,Formally Employed,1001 - 1500 cedis,Single,No,No
work,1 trip/week,2 trips/week,1 trip/week,1 trip/week,2 trips/week,1/week,1/week,never,5.01 - 10km,taxi,Paratransit,safety ans security,Yes,private car,safety ans security,never reduce my movement,extremely likely,extremely unlikely,extremely likely,unlikely,unlikely,likely,Female,18 - 24 years,Bachelors degree,first degree,Formally Employed,2501 - 3500 cedis,Single,Yes,Yes
shopping,never,never,3 trips/week,2 trips/week,5 or more trips/week,2/week,never,4/week,0 - 5km,taxi,Paratransit,safety ans security,Yes,private car,safety ans security,perception of infection,unlikely,likely,neutral,extremely unlikely,neutral,extremely unlikely,Female,25 - 30 years,No formal Education,no certificate and can not read,Self Employed,1001 - 1500 cedis,Divorced,No,No
work,4 trip/week,never,never,never,never,never,never,never,5.01 - 10km,trotro,Paratransit,cost,No,trotro,cleaniness,wearing of nose mask,unlikely,likely,extremely unlikely,unlikely,unlikely,unlikely,Male,41 - 50 years,High school certififcate,high school certififcate,Formally Employed,501 - 1000 cedis,Married,No,No
study,5 or more trips/week,never,never,never,never,5/more/week,never,never,10.01 - 15km,motor bike,Private_transport,safety ans security,Yes,trotro,safety ans security,perception of infection,extremely likely,extremely unlikely,likely,extremely unlikely,extremely unlikely,extremely unlikely,Male,51 - 60 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Married,Yes,Yes
work,5 or more trips/week,never,1 trip/week,1 trip/week,never,never,never,1/week,10.01 - 15km,taxi,Paratransit,cost,Yes,trotro,cleaniness,never reduce my movement,neutral,unlikely,extremely unlikely,neutral,likely,extremely likely,Male,41 - 50 years,High school certififcate,high school certififcate,Formally Employed,1501 - 2500 cedis,Married,Yes,Yes
study,never,5 or more trips/week,1 trip/week,never,never,2/week,never,never,10.01 - 15km,taxi,Paratransit,availability,Yes,trotro,infection concern,perception of infection,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,likely,Female,31 - 40 years,High school certififcate,high school certififcate,Self Employed,1001 - 1500 cedis,Married,No,No
study,never,5 or more trips/week,never,never,never,3/week,never,never,10.01 - 15km,taxi,Paratransit,cleaniness,No,taxi,safety ans security,perception of infection,extremely unlikely,likely,extremely unlikely,extremely unlikely,extremely unlikely,likely,Female,41 - 50 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Married,No,No
work,5 or more trips/week,2 trips/week,1 trip/week,1 trip/week,1 trip/week,2/week,never,1/week,5.01 - 10km,taxi,Paratransit,comfort,Yes,uber/bolt,safety ans security,perception of infection,extremely unlikely,likely,extremely unlikely,unlikely,unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,No,No
others,never,never,never,2 trips/week,3 trips/week,never,2/week,2/week,5.01 - 10km,trotro,Paratransit,cleaniness,No,taxi,comfort,perception of infection,extremely unlikely,likely,extremely unlikely,extremely likely,extremely likely,extremely unlikely,Male,25 - 30 years,Junior High certififcate,junior high certificate,Self Employed,501 - 1000 cedis,Single,Yes,Yes
study,2 trips/week,5 or more trips/week,never,never,never,5/more/week,never,1/week,5.01 - 10km,trotro,Paratransit,cost,No,taxi,infection concern,perception of infection,unlikely,likely,unlikely,extremely unlikely,unlikely,unlikely,Female,25 - 30 years,Bachelors degree,first degree,Self Employed,1001 - 1500 cedis,Single,No,No
work,2 trips/week,never,2 trips/week,never,3 trips/week,never,never,2/week,5.01 - 10km,taxi,Paratransit,safety ans security,Yes,trotro,infection concern,perception of infection,extremely unlikely,extremely likely,unlikely,neutral,unlikely,neutral,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1001 - 1500 cedis,Married,Yes,Yes
work,1 trip/week,3 trips/week,never,2 trips/week,3 trips/week,2/week,1/week,never,5.01 - 10km,trotro,Paratransit,safety ans security,Yes,private car,infection concern,frequent washing of hands,extremely unlikely,extremely likely,extremely likely,unlikely,neutral,extremely unlikely,Female,25 - 30 years,HND/diploma,HND/diploma,Self Employed,101 - 500 cedis,Single,Yes,No
work,1 trip/week,2 trips/week,3 trips/week,2 trips/week,2 trips/week,1/week,2/week,3/week,0 - 5km,taxi,Paratransit,availability,Yes,uber/bolt,infection concern,social distance,neutral,extremely likely,likely,unlikely,unlikely,neutral,Female,18 - 24 years,HND/diploma,HND/diploma,Formally Employed,501 - 1000 cedis,Single,Yes,No
work,1 trip/week,5 or more trips/week,never,never,never,5/more/week,1/week,1/week,10.01 - 15km,trotro,Paratransit,travel cost time,No,taxi,infection concern,perception of infection,unlikely,extremely unlikely,unlikely,neutral,unlikely,unlikely,Male,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
study,2 trips/week,never,never,never,5 or more trips/week,never,1/week,1/week,5.01 - 10km,walking,Non_motorized_transport,safety ans security,Yes,taxi,travel cost time,never reduce my movement,unlikely,likely,unlikely,extremely unlikely,unlikely,unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Formally Employed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,never,never,never,never,never,1/week,10.01 - 15km,taxi,Paratransit,safety ans security,No,taxi,infection concern,perception of infection,unlikely,likely,unlikely,unlikely,unlikely,unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,1 trip/week,2 trips/week,never,never,1/week,never,never,5.01 - 10km,trotro,Paratransit,comfort,No,taxi,infection concern,frequent washing of hands,extremely unlikely,neutral,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,31 - 40 years,No formal Education,no certificate and can not read,Self Employed,501 - 1000 cedis,Single,No,No
study,never,never,never,never,never,1/week,never,never,5.01 - 10km,trotro,Paratransit,cost,No,taxi,cost,never reduce my movement,extremely unlikely,extremely unlikely,likely,extremely unlikely,extremely unlikely,extremely unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Unemployed,less 100 cedis,Single,No,No
